===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
81,2006-day-001,81,2006-04-26 23:59:59.999989,3873.67,3892.16,3873.06,3887.0,0.0,0.0,Strategy,81,732427.9999999999
82,2006-day-001,82,2006-04-27 23:59:59.999989,3889.43,3889.43,3832.1,3865.42,0.0,0.0,Strategy,82,732428.9999999999
83,2006-day-001,83,2006-04-28 23:59:59.999989,3865.91,3865.91,3833.74,3839.9,0.0,0.0,Strategy,83,732429.9999999999
84,2006-day-001,84,2006-05-02 23:59:59.999989,3839.24,3864.19,3830.96,3862.24,0.0,0.0,Strategy,84,732433.9999999999
85,2006-day-001,85,2006-05-03 23:59:59.999989,3865.29,3879.31,3817.6,3821.97,0.0,0.0,Strategy,85,732434.9999999999
86,2006-day-001,86,2006-05-04 23:59:59.999989,3822.57,3843.66,3806.35,3843.08,0.0,0.0,Strategy,86,732435.9999999999
87,2006-day-001,87,2006-05-05 23:59:59.999989,3845.32,3874.32,3836.65,3874.32,0.0,0.0,Strategy,87,732436.9999999999
88,2006-day-001,88,2006-05-08 23:59:59.999989,3877.74,3897.4,3872.67,3877.53,0.0,0.0,Strategy,88,732439.9999999999
89,2006-day-001,89,2006-05-09 23:59:59.999989,3879.59,3890.94,3866.35,3890.94,0.0,0.0,Strategy,89,732440.9999999999
90,2006-day-001,90,2006-05-10 23:59:59.999989,3883.38,3889.78,3863.56,3863.56,0.0,0.0,Strategy,90,732441.9999999999
91,2006-day-001,91,2006-05-11 23:59:59.999989,3864.02,3894.6,3836.67,3837.86,0.0,0.0,Strategy,91,732442.9999999999
92,2006-day-001,92,2006-05-12 23:59:59.999989,3829.82,3829.82,3750.44,3750.44,0.0,0.0,Strategy,92,732443.9999999999
93,2006-day-001,93,2006-05-15 23:59:59.999989,3746.4,3746.4,3680.95,3711.16,0.0,0.0,Strategy,93,732446.9999999999
94,2006-day-001,94,2006-05-16 23:59:59.999989,3711.46,3750.12,3692.35,3730.36,0.0,0.0,Strategy,94,732447.9999999999
95,2006-day-001,95,2006-05-17 23:59:59.999989,3734.32,3750.42,3605.19,3605.37,0.0,0.0,Strategy,95,732448.9999999999
96,2006-day-001,96,2006-05-18 23:59:59.999989,3607.41,3649.54,3558.27,3606.33,0.0,0.0,Strategy,96,732449.9999999999
97,2006-day-001,97,2006-05-19 23:59:59.999989,3608.26,3638.38,3601.68,3625.33,0.0,0.0,Strategy,97,732450.9999999999
98,2006-day-001,98,2006-05-22 23:59:59.999989,3622.35,3622.35,3527.05,3539.77,0.0,0.0,Strategy,98,732453.9999999999
99,2006-day-001,99,2006-05-23 23:59:59.999989,3541.56,3637.39,3541.56,3620.28,0.0,0.0,Strategy,99,732454.9999999999
100,2006-day-001,100,2006-05-24 23:59:59.999989,3617.11,3617.11,3542.93,3574.86,0.0,0.0,Strategy,100,732455.9999999999
101,2006-day-001,101,2006-05-25 23:59:59.999989,3579.36,3635.0,3555.18,3635.0,0.0,0.0,Strategy,101,732456.9999999999
102,2006-day-001,102,2006-05-26 23:59:59.999989,3647.15,3699.8,3646.42,3699.8,0.0,0.0,Strategy,102,732457.9999999999
103,2006-day-001,103,2006-05-29 23:59:59.999989,3696.48,3696.48,3677.02,3679.57,0.0,0.0,Strategy,103,732460.9999999999
104,2006-day-001,104,2006-05-30 23:59:59.999989,3677.67,3683.3,3581.65,3590.91,0.0,0.0,Strategy,104,732461.9999999999
105,2006-day-001,105,2006-05-31 23:59:59.999989,3581.8,3641.83,3542.41,3637.17,0.0,0.0,Strategy,105,732462.9999999999
106,2006-day-001,106,2006-06-01 23:59:59.999989,3634.82,3652.84,3595.27,3648.33,0.0,0.0,Strategy,106,732463.9999999999
107,2006-day-001,107,2006-06-02 23:59:59.999989,3656.43,3688.89,3622.96,3636.89,0.0,0.0,Strategy,107,732464.9999999999
108,2006-day-001,108,2006-06-05 23:59:59.999989,3636.83,3638.59,3592.71,3604.33,0.0,0.0,Strategy,108,732467.9999999999
109,2006-day-001,109,2006-06-06 23:59:59.999989,3598.58,3598.58,3519.86,3529.1,0.0,0.0,Strategy,109,732468.9999999999
110,2006-day-001,110,2006-06-07 23:59:59.999989,3536.39,3575.67,3512.25,3562.36,0.0,0.0,Strategy,110,732469.9999999999
