===============================================================================
Id,2006-01-02-volume-min-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
124,2006-01-02-volume-min-001,124,2006-01-02 11:07:00,3613.0,3613.0,3613.0,3613.0,587.0,0.0,Strategy,124,732313.4631944444
125,2006-01-02-volume-min-001,125,2006-01-02 11:08:00,3613.0,3613.0,3612.0,3612.0,15.0,0.0,Strategy,125,732313.463888889
126,2006-01-02-volume-min-001,126,2006-01-02 11:10:00,3612.0,3613.0,3612.0,3612.0,64.0,0.0,Strategy,126,732313.4652777778
127,2006-01-02-volume-min-001,127,2006-01-02 11:11:00,3613.0,3613.0,3613.0,3613.0,81.0,0.0,Strategy,127,732313.4659722223
128,2006-01-02-volume-min-001,128,2006-01-02 11:12:00,3612.0,3612.0,3612.0,3612.0,19.0,0.0,Strategy,128,732313.4666666667
129,2006-01-02-volume-min-001,129,2006-01-02 11:13:00,3612.0,3612.0,3612.0,3612.0,25.0,0.0,Strategy,129,732313.4673611111
130,2006-01-02-volume-min-001,130,2006-01-02 11:14:00,3612.0,3612.0,3611.0,3612.0,419.0,0.0,Strategy,130,732313.4680555556
131,2006-01-02-volume-min-001,131,2006-01-02 11:15:00,3612.0,3612.0,3611.0,3611.0,604.0,0.0,Strategy,131,732313.46875
132,2006-01-02-volume-min-001,132,2006-01-02 11:16:00,3611.0,3611.0,3610.0,3610.0,1069.0,0.0,Strategy,132,732313.4694444444
133,2006-01-02-volume-min-001,133,2006-01-02 11:17:00,3611.0,3611.0,3608.0,3608.0,1991.0,0.0,Strategy,133,732313.4701388889
134,2006-01-02-volume-min-001,134,2006-01-02 11:18:00,3608.0,3608.0,3606.0,3606.0,1091.0,0.0,Strategy,134,732313.4708333333
135,2006-01-02-volume-min-001,135,2006-01-02 11:19:00,3606.0,3606.0,3605.0,3605.0,213.0,0.0,Strategy,135,732313.4715277777
136,2006-01-02-volume-min-001,136,2006-01-02 11:20:00,3605.0,3606.0,3604.0,3604.0,274.0,0.0,Strategy,136,732313.4722222222
137,2006-01-02-volume-min-001,137,2006-01-02 11:21:00,3604.0,3604.0,3604.0,3604.0,66.0,0.0,Strategy,137,732313.4729166667
138,2006-01-02-volume-min-001,138,2006-01-02 11:22:00,3604.0,3606.0,3604.0,3605.0,330.0,0.0,Strategy,138,732313.473611111
139,2006-01-02-volume-min-001,139,2006-01-02 11:23:00,3606.0,3606.0,3605.0,3605.0,628.0,0.0,Strategy,139,732313.4743055556
140,2006-01-02-volume-min-001,140,2006-01-02 11:24:00,3606.0,3607.0,3605.0,3607.0,353.0,0.0,Strategy,140,732313.475
